item,channel,attacker_stat,nominal_ar,defender_all_attributes,defense,pressure,penetration,reduction_percent
minecraft:wooden_sword,PHYSICAL,5,4,5,10.0000,0.10,0.800000000,20.000000
minecraft:wooden_sword,PHYSICAL,5,4,40,27.5000,0.10,0.592592593,40.740741
minecraft:wooden_sword,PHYSICAL,5,4,99,57.0000,0.10,0.412371134,58.762887
minecraft:wooden_sword,PHYSICAL,20,4.8442,5,10.0000,0.10,0.828890182,17.110982
minecraft:wooden_sword,PHYSICAL,20,4.8442,40,27.5000,0.10,0.637881541,36.211846
minecraft:wooden_sword,PHYSICAL,20,4.8442,99,57.0000,0.10,0.459418448,54.058155
minecraft:wooden_sword,PHYSICAL,40,5.6884,5,10.0000,0.10,0.850487411,14.951259
minecraft:wooden_sword,PHYSICAL,40,5.6884,40,27.5000,0.10,0.674108836,32.589116
minecraft:wooden_sword,PHYSICAL,40,5.6884,99,57.0000,0.10,0.499490710,50.050929
minecraft:wooden_sword,PHYSICAL,60,6.2513,5,10.0000,0.10,0.862093694,13.790631
minecraft:wooden_sword,PHYSICAL,60,6.2513,40,27.5000,0.10,0.694488574,30.551143
minecraft:wooden_sword,PHYSICAL,60,6.2513,99,57.0000,0.10,0.523064437,47.693556
minecraft:wooden_sword,PHYSICAL,99,6.8,5,10.0000,0.10,0.871794872,12.820513
minecraft:wooden_sword,PHYSICAL,99,6.8,40,27.5000,0.10,0.712041885,28.795812
minecraft:wooden_sword,PHYSICAL,99,6.8,99,57.0000,0.10,0.544000000,45.600000
minecraft:stone_sword,PHYSICAL,5,5,5,10.0000,0.10,0.833333333,16.666667
minecraft:stone_sword,PHYSICAL,5,5,40,27.5000,0.10,0.645161290,35.483871
minecraft:stone_sword,PHYSICAL,5,5,99,57.0000,0.10,0.467289720,53.271028
minecraft:stone_sword,PHYSICAL,20,6.0553,5,10.0000,0.10,0.858262583,14.173742
minecraft:stone_sword,PHYSICAL,20,6.0553,40,27.5000,0.10,0.687688097,31.231190
minecraft:stone_sword,PHYSICAL,20,6.0553,99,57.0000,0.10,0.515112332,48.488767
minecraft:stone_sword,PHYSICAL,40,7.1106,5,10.0000,0.10,0.876704559,12.329544
minecraft:stone_sword,PHYSICAL,40,7.1106,40,27.5000,0.10,0.721112306,27.888769
minecraft:stone_sword,PHYSICAL,40,7.1106,99,57.0000,0.10,0.555055969,44.494403
minecraft:stone_sword,PHYSICAL,60,7.8141,5,10.0000,0.10,0.886545422,11.345458
minecraft:stone_sword,PHYSICAL,60,7.8141,40,27.5000,0.10,0.739684403,26.031560
minecraft:stone_sword,PHYSICAL,60,7.8141,99,57.0000,0.10,0.578218305,42.178169
minecraft:stone_sword,PHYSICAL,99,8.5,5,10.0000,0.10,0.894736842,10.526316
minecraft:stone_sword,PHYSICAL,99,8.5,40,27.5000,0.10,0.755555556,24.444444
minecraft:stone_sword,PHYSICAL,99,8.5,99,57.0000,0.10,0.598591549,40.140845
minecraft:iron_sword,PHYSICAL,5,6,5,10.0000,0.10,0.857142857,14.285714
minecraft:iron_sword,PHYSICAL,5,6,40,27.5000,0.10,0.685714286,31.428571
minecraft:iron_sword,PHYSICAL,5,6,99,57.0000,0.10,0.512820513,48.717949
minecraft:iron_sword,PHYSICAL,20,7.2663,5,10.0000,0.10,0.879026892,12.097311
minecraft:iron_sword,PHYSICAL,20,7.2663,40,27.5000,0.10,0.725447521,27.455248
minecraft:iron_sword,PHYSICAL,20,7.2663,99,57.0000,0.10,0.560398880,43.960112
minecraft:iron_sword,PHYSICAL,40,8.5327,5,10.0000,0.10,0.895097926,10.490207
minecraft:iron_sword,PHYSICAL,40,8.5327,40,27.5000,0.10,0.756264015,24.373599
minecraft:iron_sword,PHYSICAL,40,8.5327,99,57.0000,0.10,0.599513796,40.048620
minecraft:iron_sword,PHYSICAL,60,9.3769,5,10.0000,0.10,0.903632106,9.636789
minecraft:iron_sword,PHYSICAL,60,9.3769,40,27.5000,0.10,0.773231411,22.676859
minecraft:iron_sword,PHYSICAL,60,9.3769,99,57.0000,0.10,0.621938197,37.806180
minecraft:iron_sword,PHYSICAL,99,10.2,5,10.0000,0.10,0.910714286,8.928571
minecraft:iron_sword,PHYSICAL,99,10.2,40,27.5000,0.10,0.787644788,21.235521
minecraft:iron_sword,PHYSICAL,99,10.2,99,57.0000,0.10,0.641509434,35.849057
minecraft:diamond_sword,PHYSICAL,5,7,5,10.0000,0.10,0.875000000,12.500000
minecraft:diamond_sword,PHYSICAL,5,7,40,27.5000,0.10,0.717948718,28.205128
minecraft:diamond_sword,PHYSICAL,5,7,99,57.0000,0.10,0.551181102,44.881890
minecraft:diamond_sword,PHYSICAL,20,8.4774,5,10.0000,0.10,0.894485829,10.551417
minecraft:diamond_sword,PHYSICAL,20,8.4774,40,27.5000,0.10,0.755063505,24.493649
minecraft:diamond_sword,PHYSICAL,20,8.4774,99,57.0000,0.10,0.597951670,40.204833
minecraft:diamond_sword,PHYSICAL,40,9.9548,5,10.0000,0.10,0.908715814,9.128419
minecraft:diamond_sword,PHYSICAL,40,9.9548,40,27.5000,0.10,0.783546376,21.645362
minecraft:diamond_sword,PHYSICAL,40,9.9548,99,57.0000,0.10,0.635894422,36.410558
minecraft:diamond_sword,PHYSICAL,60,10.9397,5,10.0000,0.10,0.916245802,8.375420
minecraft:diamond_sword,PHYSICAL,60,10.9397,40,27.5000,0.10,0.799119046,20.088095
minecraft:diamond_sword,PHYSICAL,60,10.9397,99,57.0000,0.10,0.657445747,34.255425
minecraft:diamond_sword,PHYSICAL,99,11.9,5,10.0000,0.10,0.922480620,7.751938
minecraft:diamond_sword,PHYSICAL,99,11.9,40,27.5000,0.10,0.812286689,18.771331
minecraft:diamond_sword,PHYSICAL,99,11.9,99,57.0000,0.10,0.676136364,32.386364
minecraft:netherite_sword,PHYSICAL,5,8,5,10.0000,0.10,0.888888889,11.111111
minecraft:netherite_sword,PHYSICAL,5,8,40,27.5000,0.10,0.744186047,25.581395
minecraft:netherite_sword,PHYSICAL,5,8,99,57.0000,0.10,0.583941606,41.605839
minecraft:netherite_sword,PHYSICAL,20,9.6884,5,10.0000,0.10,0.906440627,9.355937
minecraft:netherite_sword,PHYSICAL,20,9.6884,40,27.5000,0.10,0.778910471,22.108953
minecraft:netherite_sword,PHYSICAL,20,9.6884,99,57.0000,0.10,0.629591121,37.040888
minecraft:netherite_sword,PHYSICAL,40,11.3769,5,10.0000,0.10,0.919204324,8.079568
minecraft:netherite_sword,PHYSICAL,40,11.3769,40,27.5000,0.10,0.805335919,19.466408
minecraft:netherite_sword,PHYSICAL,40,11.3769,99,57.0000,0.10,0.666215765,33.378423
minecraft:netherite_sword,PHYSICAL,60,12.5025,5,10.0000,0.10,0.925939641,7.406036
minecraft:netherite_sword,PHYSICAL,60,12.5025,40,27.5000,0.10,0.819701688,18.029831
minecraft:netherite_sword,PHYSICAL,60,12.5025,99,57.0000,0.10,0.686856201,31.314380
minecraft:netherite_sword,PHYSICAL,99,13.6,5,10.0000,0.10,0.931506849,6.849315
minecraft:netherite_sword,PHYSICAL,99,13.6,40,27.5000,0.10,0.831804281,16.819572
minecraft:netherite_sword,PHYSICAL,99,13.6,99,57.0000,0.10,0.704663212,29.533679
minecraft:wooden_axe,SLASH,5,7,5,10.0000,0.10,0.875000000,12.500000
minecraft:wooden_axe,SLASH,5,7,40,22.2500,0.10,0.758807588,24.119241
minecraft:wooden_axe,SLASH,5,7,99,42.9000,0.10,0.620017715,37.998229
minecraft:wooden_axe,SLASH,20,8.5829,5,10.0000,0.10,0.895647455,10.435254
minecraft:wooden_axe,SLASH,20,8.5829,40,22.2500,0.10,0.794132070,20.586793
minecraft:wooden_axe,SLASH,20,8.5829,99,42.9000,0.10,0.666741760,33.325824
minecraft:wooden_axe,SLASH,40,10.1658,5,10.0000,0.10,0.910440810,8.955919
minecraft:wooden_axe,SLASH,40,10.1658,40,22.2500,0.10,0.820431288,17.956871
minecraft:wooden_axe,SLASH,40,10.1658,99,42.9000,0.10,0.703233304,29.676670
minecraft:wooden_axe,SLASH,60,11.2211,5,10.0000,0.10,0.918174305,8.182569
minecraft:wooden_axe,SLASH,60,11.2211,40,22.2500,0.10,0.834524509,16.547549
minecraft:wooden_axe,SLASH,60,11.2211,99,42.9000,0.10,0.723423871,27.657613
minecraft:wooden_axe,SLASH,99,12.25,5,10.0000,0.10,0.924528302,7.547170
minecraft:wooden_axe,SLASH,99,12.25,40,22.2500,0.10,0.846286701,15.371330
minecraft:wooden_axe,SLASH,99,12.25,99,42.9000,0.10,0.740628779,25.937122
minecraft:iron_axe,SLASH,5,9,5,10.0000,0.10,0.900000000,10.000000
minecraft:iron_axe,SLASH,5,9,40,22.2500,0.10,0.801781737,19.821826
minecraft:iron_axe,SLASH,5,9,99,42.9000,0.10,0.677200903,32.279910
minecraft:iron_axe,SLASH,20,11.0352,5,10.0000,0.10,0.916910396,8.308960
minecraft:iron_axe,SLASH,20,11.0352,40,22.2500,0.10,0.832204642,16.779536
minecraft:iron_axe,SLASH,20,11.0352,99,42.9000,0.10,0.720068906,27.993109
minecraft:iron_axe,SLASH,40,13.0704,5,10.0000,0.10,0.928928815,7.107118
minecraft:iron_axe,SLASH,40,13.0704,40,22.2500,0.10,0.854531428,14.546857
minecraft:iron_axe,SLASH,40,13.0704,99,42.9000,0.10,0.752885878,24.711412
minecraft:iron_axe,SLASH,60,14.4271,5,10.0000,0.10,0.935179003,6.482100
minecraft:iron_axe,SLASH,60,14.4271,40,22.2500,0.10,0.866383219,13.361678
minecraft:iron_axe,SLASH,60,14.4271,99,42.9000,0.10,0.770797827,22.920217
